Nome	Altura	Peso	Idade	Estudante	Sexo
Ana Maria	1.58	52.3	14	True	F
Bruno	1.72	68.5	17	True	M
Carla	1.65	59.2	15	True	F
Diego	1.80	82.1	22	False	M
Elisa	1.60	54.7	13	True	F
Felipe	1.75	77,8	19	True	M
Gabriela	1.68	63.4	24	False	F
Henrique	1.83	85.2	28	False	M
Isabela	1.62	57.1	16	True	F
João	1.78	80.5	21	False	M
Larissa	1,70	65.8	18	True	F
Marcos	1.74	73.6	30	False	M
Natália	1.59	55.0	12	True	F
Otávio	1.81	88.3	35 anos	False	M
Patrícia	1.67	61.9	27	False	F
Rafael	1.76	79.4	23	False	M
Sofia	1.55	50.8	14	True	F
Tiago	1.84	91.2	36	False	M
Vanessa	1.63	58.6	20	True	F
William	1.79	83.7	25	False	M
